run,subrun,det,resist_v,drift_v,n_samples,t_start,t_end,i_median_ua,i_mean_ua,di_ua,di_err_ua,frac_elevated,n_pulses,pulse_rate_hz,q_per_pulse_nc,q_err_nc,q_per_channel_pc,leak_ok,notes
run_67,m113On_dr700_r525_037,D,524.5,700.25,603,1784776167.0,1784776780.0,1.1139999628067017,1.2027462675401426,0.08874630473344092,0.0067761676954315895,0.38308457711442784,168,0.2740619902120718,323.8183619142814,24.724945222021216,316.2288690569154,False,
run_67,m113On_dr700_r530_034,A,529.75,699.75,600,1784774287.0,1784774898.0,1.4950000047683716,1.516101665298144,0.02110166052977247,0.0015946615813273092,0.23,164,0.2684124386252046,78.61655233957913,5.941086745066987,76.77397689412024,False,
run_67,m113On_dr700_r530_034,B,529.75,699.75,600,1784774287.0,1784774898.0,5.191999912261963,5.197256666819254,0.005256754557291465,0.0015756721974960397,0.31166666666666665,164,0.2684124386252046,19.584616064055396,5.870339711402927,19.1256016250541,False,
run_67,m113On_dr700_r530_034,C,529.5,699.75,600,1784774287.0,1784774898.0,0.007000000216066837,0.0405550001670296,0.03355499995096276,0.0025254338992683856,0.26166666666666666,164,0.2684124386252046,125.01283518316004,9.408781173493802,122.08284685855472,True,
run_67,m113On_dr700_r530_034,D,529.5,700.25,600,1784774287.0,1784774898.0,1.3079999685287476,1.4087316658099491,0.10073169728120157,0.008031461011314646,0.3883333333333333,164,0.2684124386252046,375.2869941391107,29.922089499471024,366.49120521397526,False,
run_67,m113On_dr700_r535_031,A,534.75,699.75,602,1784772404.0,1784773017.0,1.5670000314712524,1.5980465126988104,0.03104648122755793,0.0022237110531347086,0.29900332225913623,165,0.26916802610114193,115.34238177268492,8.261423488312582,112.63904469988762,False,
run_67,m113On_dr700_r535_031,B,534.75,699.75,602,1784772404.0,1784773017.0,5.410499811172485,5.415509966916816,0.005010155744330724,0.002305862804090838,0.3754152823920266,165,0.26916802610114193,18.613487704695356,8.566629690349595,18.177234086616558,False,
run_67,m113On_dr700_r535_031,C,534.5,699.75,602,1784772404.0,1784773017.0,0.008999999612569809,0.050789036594665424,0.041789036982095615,0.0030276354741924044,0.2857142857142857,165,0.26916802610114193,155.25260406075523,11.248124519272388,151.61387115308128,True,
run_67,m113On_dr700_r535_031,D,534.5,700.25,602,1784772404.0,1784773017.0,1.5705000162124634,1.6749966784173071,0.10449666220484377,0.008371492504009932,0.4186046511627907,165,0.26916802610114193,388.22093291860136,31.101363060352053,379.12200480332166,False,
run_67,m113On_dr700_r540_028,A,539.75,699.75,605,1784770519.0,1784771136.0,1.6230000257492065,1.653930573424032,0.030930547674825393,0.002739026514852917,0.24462809917355371,168,0.27228525121555913,113.59611854385278,10.059400950382441,110.93370951548123,False,
run_67,m113On_dr700_r540_028,B,539.75,699.75,605,1784770519.0,1784771136.0,5.5329999923706055,5.532885953414539,-0.00011403895606676429,0.00265671537365295,0.3867768595041322,168,0.27228525121555913,-0.4188216422213903,9.757103485380181,-0.40900550998182644,False,
run_67,m113On_dr700_r540_028,C,539.5,699.75,605,1784770519.0,1784771136.0,0.009999999776482582,0.06117685954124967,0.05117685976476709,0.004308566047434959,0.2743801652892562,168,0.27228525121555913,187.95310996941248,15.823721733734343,183.54795895450437,True,
run_67,m113On_dr700_r540_028,D,539.5,700.0,605,1784770519.0,1784771136.0,1.9229999780654907,2.0368991733582553,0.1138991952927646,0.009357558192052655,0.4132231404958678,168,0.27228525121555913,418.30835414068906,34.36674645533624,408.5042520905167,False,
run_67,m113On_dr700_r545_025,A,544.75,699.75,603,1784768630.0,1784769244.0,1.715000033378601,1.753051414023189,0.03805138064458791,0.0032797828178607277,0.2470978441127695,159,0.25895765472312704,146.9405516715533,12.665324843814382,143.49663249175126,False,
