eventId,front_x_mm,front_y_mm,back_x_mm,back_y_mm,z_front_mm,z_back_mm
146279,66.3349,18.6115,65.1842,14.9739,0.0,1370.0
1342397,95.1241,18.1357,94.5407,14.9127,0.0,1370.0
1461023,103.7134,64.3525,85.0848,39.6794,0.0,1370.0
867748,92.8664,33.6497,78.0598,59.3657,0.0,1370.0
907979,31.2769,59.3439,75.5521,11.2974,0.0,1370.0
437347,75.5772,19.9228,74.1740,16.2279,0.0,1370.0
152615,112.0121,17.1402,39.3355,41.8134,0.0,1370.0
1580229,70.4861,57.7974,69.7038,55.9080,0.0,1370.0
1556371,38.3045,46.9863,38.4513,46.0251,0.0,1370.0
467612,76.3734,35.1371,78.2804,34.6683,0.0,1370.0
1372384,83.7157,19.2391,82.7025,15.9790,0.0,1370.0
1566749,56.8188,55.3978,54.5719,53.6036,0.0,1370.0
1413662,82.8860,52.9070,90.3301,55.3273,0.0,1370.0
791782,67.8144,98.9746,69.5515,98.3606,0.0,1370.0
892814,93.8622,92.8896,92.3517,93.4524,0.0,1370.0
1476525,87.5958,25.4719,86.7439,22.2980,0.0,1370.0
1043892,97.3959,16.1538,95.2308,11.9260,0.0,1370.0
837247,112.2632,22.9050,76.1833,2.5320,0.0,1370.0
980341,80.3799,38.8834,79.5385,36.0938,0.0,1370.0
115646,89.3255,22.8480,88.5146,19.6733,0.0,1370.0
751663,81.7388,17.5772,84.2426,15.6140,0.0,1370.0
920514,57.6081,78.3139,56.6486,77.6405,0.0,1370.0
734030,68.8108,67.6175,68.6878,66.7425,0.0,1370.0
1554798,93.2387,60.5322,92.8005,58.8561,0.0,1370.0
1052852,69.2343,19.6714,68.1821,16.4150,0.0,1370.0
1600615,66.5546,20.1142,65.7298,16.4134,0.0,1370.0
1357971,57.7530,89.6289,55.8232,88.5268,0.0,1370.0
590038,87.8335,85.4691,86.8279,84.8816,0.0,1370.0
1561067,46.8687,20.6412,46.1018,17.6431,0.0,1370.0
704777,57.6799,93.1663,81.2464,31.4289,0.0,1370.0
1534077,76.8544,37.8163,70.1212,35.2727,0.0,1370.0
361626,45.8152,37.2128,44.3444,34.6391,0.0,1370.0
705518,57.0127,88.0355,62.9249,90.1169,0.0,1370.0
1283382,76.0262,27.4712,75.3573,25.2958,0.0,1370.0
1238670,49.0347,85.3870,47.1606,84.1163,0.0,1370.0
917040,88.5919,47.5160,87.3331,45.3309,0.0,1370.0
1051373,57.9449,84.3364,56.5965,87.3997,0.0,1370.0
549247,26.6334,52.7666,35.4183,50.9299,0.0,1370.0
876510,27.5928,95.1757,34.8448,81.8131,0.0,1370.0
1119400,52.8067,89.3274,51.8509,88.8725,0.0,1370.0
1266560,69.7882,28.3360,66.8640,27.2889,0.0,1370.0
439883,43.4748,86.2367,54.0085,88.4048,0.0,1370.0
1265644,80.7012,49.2887,79.6933,47.6791,0.0,1370.0
649100,57.4108,74.5348,69.1399,99.4477,0.0,1370.0
1124528,92.6999,48.7261,91.8479,47.1617,0.0,1370.0
1355371,56.9195,81.8943,54.2289,86.1277,0.0,1370.0
747614,56.0619,83.4010,52.4772,80.6058,0.0,1370.0
869664,91.7212,51.3270,90.6276,49.3821,0.0,1370.0
265788,64.5411,36.6960,67.0785,29.6801,0.0,1370.0
1163205,86.4014,32.4048,84.4362,29.1378,0.0,1370.0
1395764,74.4497,54.7781,55.9704,28.6644,0.0,1370.0
490955,71.0031,28.8445,70.1787,25.7092,0.0,1370.0
1507980,49.8898,100.5948,48.9502,98.4775,0.0,1370.0
130473,81.5946,42.5277,79.8158,40.2337,0.0,1370.0
815739,66.3657,93.5867,65.2317,93.3769,0.0,1370.0
693268,77.6651,60.7596,78.1370,59.0023,0.0,1370.0
1317339,81.5194,17.4517,80.6803,13.9965,0.0,1370.0
314198,52.8592,21.5188,53.4967,12.9117,0.0,1370.0
